~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:11:55 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'PanGPA.exe', 'pid': 16096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Lenovo.Modern.ImController.exe', 'pid': 16196, 'username': None}
0{'name': 'AppVStreamingUX.exe', 'pid': 16212, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 16224, 'username': None}
0{'name': 'conhost.exe', 'pid': 16428, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 16472, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'GoToAssistCustomerAttendedAppUi.exe', 'pid': 16588, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 17036, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RtkAudUService64.exe', 'pid': 17140, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'dllhost.exe', 'pid': 17340, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 17348, 'username': None}
0{'name': 'nxtusm.exe', 'pid': 17416, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'kvoop.exe', 'pid': 17424, 'username': None}
0{'name': 'wepsvc.exe', 'pid': 17516, 'username': None}
0{'name': 'WidgetService.exe', 'pid': 17576, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 17596, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 17660, 'username': None}
0{'name': 'nxtray.exe', 'pid': 17676, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'GoToAssistCrashHandler.exe', 'pid': 18032, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 18072, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 18104, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'ApplicationFrameHost.exe', 'pid': 18164, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 18176, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 18208, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Microsoft.Notes.exe', 'pid': 18232, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RuntimeBroker.exe', 'pid': 18592, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': '1E.Client.Interaction.exe', 'pid': 18660, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'uhssvc.exe', 'pid': 18752, 'username': None}
0{'name': 'svchost.exe', 'pid': 18764, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Widgets.exe', 'pid': 18812, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RuntimeBroker.exe', 'pid': 18864, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 18896, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RuntimeBroker.exe', 'pid': 19072, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RdrCEF.exe', 'pid': 19096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'conhost.exe', 'pid': 19168, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 19188, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'LocationNotificationWindows.exe', 'pid': 19196, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'snipaste.exe', 'pid': 19248, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 19320, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 19360, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 19448, 'username': None}
0{'name': 'kvoop.exe', 'pid': 19544, 'username': None}
0{'name': 'WmiPrvSE.exe', 'pid': 19680, 'username': None}
0{'name': 'msedge.exe', 'pid': 19872, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'ctfmon.exe', 'pid': 19876, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 19884, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 19984, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'conhost.exe', 'pid': 20028, 'username': None}
0{'name': 'LenovoVantage-(VantageCoreAddin).exe', 'pid': 20044, 'username': None}
0{'name': 'chrome.exe', 'pid': 20096, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 20144, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'conhost.exe', 'pid': 20404, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 20476, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 20828, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'UserOOBEBroker.exe', 'pid': 20848, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 21292, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedge.exe', 'pid': 21300, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'AppProvisioningPlugin.exe', 'pid': 21312, 'username': None}
0{'name': 'audiodg.exe', 'pid': 21388, 'username': None}
0{'name': 'nxtbsm.exe', 'pid': 21404, 'username': None}
0{'name': 'nxtcod.exe', 'pid': 21428, 'username': None}
0{'name': 'chrome.exe', 'pid': 21552, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'AMDRSServ.exe', 'pid': 21624, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Notepad.exe', 'pid': 22368, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'cncmd.exe', 'pid': 22444, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 22644, 'username': None}
0{'name': 'concentr.exe', 'pid': 22664, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'wfcrun32.exe', 'pid': 22720, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 22788, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 22824, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 22908, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'Code.exe', 'pid': 22956, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'kvoop.exe', 'pid': 23012, 'username': None}
0{'name': 'chrome.exe', 'pid': 23092, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RdrCEF.exe', 'pid': 23188, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'ONENOTE.EXE', 'pid': 23328, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 23360, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 23532, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 23704, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 24312, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'RadeonSoftware.exe', 'pid': 24476, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 25032, 'username': None}
0{'name': 'svchost.exe', 'pid': 25152, 'username': None}
