~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:17 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
295{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 22824}
296{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 22908}
297{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 22956}
298{'username': None, 'name': 'kvoop.exe', 'pid': 23012}
299{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 23092}
300{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RdrCEF.exe', 'pid': 23188}
301{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ONENOTE.EXE', 'pid': 23328}
302{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 23360}
303{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 23532}
304{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 23704}
305{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 24312}
306{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RadeonSoftware.exe', 'pid': 24476}
307{'username': None, 'name': 'svchost.exe', 'pid': 25032}
308{'username': None, 'name': 'svchost.exe', 'pid': 25152}
309{'username': None, 'name': 'Microsoft.Management.Services.IntuneWindowsAgent.exe', 'pid': 25300}
310{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AnalyticsSrv.exe', 'pid': 25464}
