@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 15980, 'vms': 4.2421875}
{'name': 'kvoop.exe', 'username': None, 'pid': 16016, 'vms': 2.5}
{'name': 'Microsoft.Notes.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16152, 'vms': 69.23046875}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16240, 'vms': 51.66015625}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16580, 'vms': 8.43359375}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16772, 'vms': 3.83203125}
{'name': 'Widgets.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16784, 'vms': 12.4921875}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16936, 'vms': 11.4765625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16988, 'vms': 11.84375}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 16996, 'vms': 7.09375}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17068, 'vms': 9.28125}
{'name': 'LenovoVantage-(GenericMessagingAddin).exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17072, 'vms': 24.20703125}
{'name': 'ctfmon.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17260, 'vms': 8.64453125}
{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17348, 'vms': 749.5546875}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17404, 'vms': 11.7421875}
{'name': 'svchost.exe', 'username': None, 'pid': 17476, 'vms': 1.87109375}
{'name': 'CsSystemTray_7.25.19706.0.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17576, 'vms': 2.59375}
{'name': 'msedge.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17888, 'vms': 51.35546875}
{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 17992, 'vms': 3.265625}
{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 18184, 'vms': 11.3515625}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 18232, 'vms': 21.16015625}
